CT,BlockGrp,StrType,Occupancy,Code,Tenure,Mortgage,Value,Income,Size,Race,Children,Elderly
022704,60750227041,W1,RES1,Post1980,RenterOccupied,FALSE,520464,397314,2,White,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,RenterOccupied,FALSE,520464,412531,5,WhiteHispanic,TRUE,FALSE
022704,60750227041,W1,RES1,Pre1940,OwnerOccupied,FALSE,453936,464220,4,White,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,RenterOccupied,FALSE,520464,25909,1,NonWhite,FALSE,FALSE
022704,60750227041,W1,RES1,Post1980,RenterOccupied,FALSE,520464,173066,1,White,FALSE,FALSE
022704,60750227041,W1,RES1,Post1940,RenterOccupied,FALSE,520464,105339,1,White,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,RenterOccupied,FALSE,520464,325718,4,White,TRUE,FALSE
022704,60750227041,W1,RES1,Pre1940,OwnerOccupied,FALSE,481929,175867,1,White,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,RenterOccupied,FALSE,520464,167343,2,NonWhite,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,RenterOccupied,FALSE,520464,28804,1,White,FALSE,FALSE
022704,60750227041,W1,RES1,Post1940,RenterOccupied,FALSE,520464,14145,1,NonWhite,FALSE,TRUE
022704,60750227041,W1,RES1,Post1980,OwnerOccupied,FALSE,390348,207727,4,White,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,OwnerOccupied,TRUE,520464,66367,1,White,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,OwnerOccupied,TRUE,520464,241069,3,NonWhite,FALSE,FALSE
022704,60750227041,W1,RES1,Post1980,RenterOccupied,FALSE,520464,53248,1,White,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,OwnerOccupied,TRUE,520464,369276,2,NonWhite,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,OwnerOccupied,TRUE,520464,353211,3,NonWhite,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,RenterOccupied,FALSE,520464,43576,1,NonWhite,TRUE,FALSE
022704,60750227041,W1,RES1,Pre1940,RenterOccupied,FALSE,481929,354771,2,White,TRUE,FALSE
022704,60750227041,W1,RES1,Post1980,RenterOccupied,FALSE,481929,331743,2,White,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,RenterOccupied,FALSE,520464,65040,1,White,TRUE,FALSE
022704,60750227041,W1,RES1,Post1980,RenterOccupied,FALSE,520464,185840,1,WhiteHispanic,FALSE,TRUE
022704,60750227041,W1,RES1,Post1980,RenterOccupied,FALSE,520464,77645,1,NonWhite,TRUE,FALSE
022704,60750227041,W1,RES1,Post1980,OwnerOccupied,TRUE,520464,286178,3,White,FALSE,FALSE
022704,60750227041,W1,RES1,Post1980,OwnerOccupied,TRUE,520464,43258,1,White,FALSE,FALSE
022704,60750227041,W1,RES1,Post1980,OwnerOccupied,TRUE,481929,258526,3,White,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,RenterOccupied,FALSE,481929,74138,1,NonWhite,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,RenterOccupied,FALSE,520464,120166,1,White,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,RenterOccupied,FALSE,481929,29453,1,NonWhite,FALSE,FALSE
022704,60750227041,W1,RES1,Post1980,RenterOccupied,FALSE,520464,265021,2,NonWhite,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,OwnerOccupied,TRUE,475839,446083,4,White,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,OwnerOccupied,TRUE,481929,397567,3,NonWhite,FALSE,FALSE
022704,60750227041,W1,RES1,Post1980,OwnerOccupied,TRUE,520464,118379,1,NonWhite,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,OwnerOccupied,FALSE,520464,302843,2,White,FALSE,FALSE
022704,60750227041,W1,RES1,Pre1940,OwnerOccupied,FALSE,361446,256160,2,NonWhite,FALSE,FALSE
022704,60750227041,W1,RES1,Post1940,RenterOccupied,FALSE,520464,62120,1,White,FALSE,FALSE
022704,60750227041,W1,RES1,Post1980,RenterOccupied,FALSE,520464,70423,1,White,TRUE,FALSE
